id,behavior
0,MB_NORMAL
1,MB_NORMAL
2,MB_JUMP_WEST
3,MB_JUMP_EAST
4,MB_JUMP_SOUTH
5,MB_JUMP_SOUTH
6,MB_NORMAL
7,MB_NORMAL
8,MB_LONG_GRASS_SOUTH_EDGE
9,MB_JUMP_SOUTH
10,MB_JUMP_SOUTHWEST
11,MB_JUMP_SOUTHEAST
12,MB_NORMAL
13,MB_NORMAL
14,MB_NORMAL
15,MB_NORMAL
16,MB_BRIDGE_OVER_OCEAN
17,MB_NORMAL
18,MB_NORMAL
19,MB_NORMAL
20,MB_NORMAL
21,MB_NORMAL
22,MB_BRIDGE_OVER_OCEAN
23,MB_BRIDGE_OVER_OCEAN
24,MB_BRIDGE_OVER_OCEAN
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_NORMAL
30,MB_BRIDGE_OVER_OCEAN
31,MB_BRIDGE_OVER_OCEAN
32,MB_NORMAL
33,MB_NORMAL
34,MB_NORMAL
35,MB_NORMAL
36,MB_NORMAL
37,MB_NORMAL
38,MB_NORMAL
39,MB_NORMAL
40,MB_NORMAL
41,MB_NORMAL
42,MB_NORMAL
43,MB_NO_RUNNING
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_NO_RUNNING
48,MB_NORMAL
49,MB_NORMAL
50,MB_NORMAL
51,MB_NO_RUNNING
52,MB_NORMAL
53,MB_NON_ANIMATED_DOOR
54,MB_NORMAL
55,MB_NO_RUNNING
56,MB_NORMAL
57,MB_NORMAL
58,MB_NORMAL
59,MB_NO_RUNNING
60,MB_NO_RUNNING
61,MB_NO_RUNNING
62,MB_NO_RUNNING
63,MB_NO_RUNNING
64,MB_NORMAL
65,MB_NORMAL
66,MB_NORMAL
67,MB_NORMAL
68,MB_NORMAL
69,MB_NO_RUNNING
70,MB_NORMAL
71,MB_NORMAL
72,MB_NORMAL
73,MB_NORMAL
74,MB_NORMAL
75,MB_NORMAL
76,MB_NORMAL
77,MB_NO_RUNNING
78,MB_FORTREE_BRIDGE
79,MB_FORTREE_BRIDGE
80,MB_NORMAL
81,MB_NORMAL
82,MB_NORMAL
83,MB_NORMAL
84,MB_NORMAL
85,MB_NORMAL
86,MB_FORTREE_BRIDGE
87,MB_FORTREE_BRIDGE
88,MB_NORMAL
89,MB_NORMAL
90,MB_NORMAL
91,MB_NORMAL
92,MB_NORMAL
93,MB_NORMAL
94,MB_FORTREE_BRIDGE
95,MB_FORTREE_BRIDGE
96,MB_NORMAL
97,MB_NORMAL
98,MB_NORMAL
99,MB_NORMAL
100,MB_NORMAL
101,MB_NORMAL
102,MB_OCEAN_WATER
103,MB_OCEAN_WATER
104,MB_NORMAL
105,MB_NORMAL
106,MB_NORMAL
107,MB_NORMAL
108,MB_NORMAL
109,MB_NORMAL
110,MB_POND_WATER
111,MB_POND_WATER
112,MB_NORMAL
113,MB_SECRET_BASE_SPOT_SHRUB
114,MB_NORMAL
115,MB_NORMAL
116,MB_PUDDLE
117,MB_PUDDLE
118,MB_NORMAL
119,MB_POND_WATER
120,MB_SECRET_BASE_SPOT_SHRUB_OPEN
121,MB_NORMAL
122,MB_NORMAL
123,MB_NORMAL
124,MB_PUDDLE
125,MB_PUDDLE
126,MB_NORMAL
127,MB_NORMAL
128,MB_NORMAL
129,MB_LONG_GRASS_SOUTH_EDGE
130,MB_LONG_GRASS_SOUTH_EDGE
131,MB_LONG_GRASS_SOUTH_EDGE
132,MB_NORMAL
133,MB_BRIDGE_OVER_POND_MED
134,MB_BRIDGE_OVER_POND_MED
135,MB_BRIDGE_OVER_POND_MED
136,MB_PUDDLE
137,MB_PUDDLE
138,MB_PUDDLE
139,MB_NORMAL
140,MB_NORMAL
141,MB_BRIDGE_OVER_POND_MED
142,MB_BRIDGE_OVER_POND_MED
143,MB_BRIDGE_OVER_POND_MED
144,MB_PUDDLE
145,MB_PUDDLE
146,MB_PUDDLE
147,MB_BERRY_TREE_SOIL
148,MB_BERRY_TREE_SOIL
149,MB_BRIDGE_OVER_POND_HIGH
150,MB_BRIDGE_OVER_POND_HIGH
151,MB_BRIDGE_OVER_POND_HIGH
152,MB_PUDDLE
153,MB_PUDDLE
154,MB_PUDDLE
155,MB_NORMAL
156,MB_NORMAL
157,MB_BRIDGE_OVER_POND_HIGH
158,MB_BRIDGE_OVER_POND_HIGH
159,MB_BRIDGE_OVER_POND_HIGH
160,MB_NORMAL
161,MB_NORMAL
162,MB_NORMAL
163,MB_NORMAL
164,MB_NORMAL
165,MB_NORMAL
166,MB_NORMAL
167,MB_NORMAL
168,MB_NORMAL
169,MB_NORMAL
170,MB_NORMAL
171,MB_NORMAL
172,MB_NORMAL
173,MB_NORMAL
174,MB_NORMAL
175,MB_WATER_DOOR
176,MB_NORMAL
177,MB_NORMAL
178,MB_NORMAL
179,MB_NORMAL
180,MB_NORMAL
181,MB_NORMAL
182,MB_NORMAL
183,MB_BRIDGE_OVER_POND_HIGH
184,MB_NORMAL
185,MB_NORMAL
186,MB_NORMAL
187,MB_NORMAL
188,MB_NORMAL
189,MB_NORMAL
190,MB_NORMAL
191,MB_BRIDGE_OVER_POND_HIGH
192,MB_NORMAL
193,MB_NORMAL
194,MB_NORMAL
195,MB_NORMAL
196,MB_NORMAL
197,MB_NORMAL
198,MB_NORMAL
199,MB_BRIDGE_OVER_POND_MED
200,MB_NORMAL
201,MB_NORMAL
202,MB_NON_ANIMATED_DOOR
203,MB_NORMAL
204,MB_NORMAL
205,MB_NORMAL
206,MB_NORMAL
207,MB_BRIDGE_OVER_POND_MED
208,MB_NORMAL
209,MB_NORMAL
210,MB_NORMAL
211,MB_NORMAL
212,MB_NORMAL
213,MB_NORMAL
214,MB_NORMAL
215,MB_NORMAL
216,MB_NORMAL
217,MB_NORMAL
218,MB_NORMAL
219,MB_NORMAL
220,MB_NORMAL
221,MB_NORMAL
222,MB_NORMAL
223,MB_NORMAL
224,MB_NORMAL
225,MB_NORMAL
226,MB_NORMAL
227,MB_NORMAL
228,MB_NORMAL
229,MB_NORMAL
230,MB_NORMAL
231,MB_NORMAL
232,MB_NORMAL
233,MB_NORMAL
234,MB_NORMAL
235,MB_NORMAL
236,MB_NORMAL
237,MB_NORMAL
238,MB_NORMAL
239,MB_BRIDGE_OVER_POND_HIGH
240,MB_NORMAL
241,MB_NORMAL
242,MB_NORMAL
243,MB_NORMAL
244,MB_BRIDGE_OVER_POND_MED
245,MB_NORMAL
246,MB_NORMAL
247,MB_BRIDGE_OVER_POND_HIGH
248,MB_NORMAL
249,MB_NORMAL
250,MB_NORMAL
251,MB_BRIDGE_OVER_POND_MED_EDGE_1
252,MB_BRIDGE_OVER_POND_MED_EDGE_2
253,MB_NORMAL
254,MB_NORMAL
255,MB_BRIDGE_OVER_POND_MED
256,MB_NORMAL
257,MB_NORMAL
258,MB_NORMAL
259,MB_BRIDGE_OVER_POND_MED_EDGE_1
260,MB_BRIDGE_OVER_POND_MED_EDGE_2
261,MB_NORMAL
262,MB_NORMAL
263,MB_BRIDGE_OVER_POND_MED
264,MB_NORMAL
265,MB_NORMAL
266,MB_NORMAL
267,MB_BRIDGE_OVER_POND_HIGH_EDGE_1
268,MB_BRIDGE_OVER_POND_HIGH_EDGE_1
269,MB_NORMAL
270,MB_SOUTH_ARROW_WARP
271,MB_SOUTH_ARROW_WARP
272,MB_NORMAL
273,MB_NORMAL
274,MB_NORMAL
275,MB_BRIDGE_OVER_POND_HIGH_EDGE_2
276,MB_BRIDGE_OVER_POND_HIGH_EDGE_2
277,MB_NORMAL
278,MB_NORMAL
279,MB_NORMAL
