id,behavior
0,MB_NORMAL
1,MB_CAVE
2,MB_CAVE
3,MB_NORMAL
4,MB_NORMAL
5,MB_NORMAL
6,MB_NORMAL
7,MB_SOUTH_ARROW_WARP
8,MB_NORMAL
9,MB_CAVE
10,MB_NORMAL
11,MB_NORMAL
12,MB_NORMAL
13,MB_NORMAL
14,MB_NORMAL
15,MB_NORMAL
16,MB_NORMAL
17,MB_CAVE
18,MB_NORMAL
19,MB_NORMAL
20,MB_LADDER
21,MB_NORMAL
22,MB_LADDER
23,MB_LADDER
24,MB_NORMAL
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_NORMAL
30,MB_NORMAL
31,MB_CAVE
32,MB_NORMAL
33,MB_IMPASSABLE_NORTH
34,MB_NORMAL
35,MB_NORMAL
36,MB_NORMAL
37,MB_NORMAL
38,MB_NORMAL
39,MB_LADDER
40,MB_NORMAL
41,MB_IMPASSABLE_NORTH
42,MB_NORMAL
43,MB_NORMAL
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_CRACKED_FLOOR_HOLE
48,MB_NORMAL
49,MB_IMPASSABLE_NORTH
50,MB_NORMAL
51,MB_NORMAL
52,MB_NORMAL
53,MB_NORMAL
54,MB_NORMAL
55,MB_NORMAL
56,MB_JUMP_WEST
57,MB_JUMP_EAST
58,MB_JUMP_WEST
59,MB_JUMP_EAST
60,MB_JUMP_SOUTH
61,MB_NORMAL
62,MB_NORMAL
63,MB_NORMAL
64,MB_JUMP_SOUTHWEST
65,MB_JUMP_SOUTHEAST
66,MB_JUMP_SOUTHWEST
67,MB_JUMP_SOUTHEAST
68,MB_JUMP_SOUTH
69,MB_NORMAL
70,MB_NORMAL
71,MB_NORMAL
72,MB_NORMAL
73,MB_NORMAL
74,MB_NORMAL
75,MB_NORMAL
76,MB_NORMAL
77,MB_NORMAL
78,MB_NORMAL
79,MB_NORMAL
80,MB_NORMAL
81,MB_NORMAL
82,MB_NORMAL
