id,behavior
0,MB_NORMAL
1,MB_SECRET_BASE_WALL
2,MB_SECRET_BASE_NORTH_WALL
3,MB_SECRET_BASE_WALL
4,MB_SOUTH_ARROW_WARP
5,MB_SECRET_BASE_WALL
6,MB_SECRET_BASE_WALL
7,MB_SECRET_BASE_WALL
8,MB_SECRET_BASE_WALL
9,MB_SECRET_BASE_WALL
10,MB_NORMAL
11,MB_SECRET_BASE_WALL
12,MB_SECRET_BASE_WALL
13,MB_SECRET_BASE_WALL
14,MB_SECRET_BASE_TRAINER_SPOT
15,MB_SECRET_BASE_WALL
16,MB_SECRET_BASE_WALL
17,MB_SECRET_BASE_WALL
18,MB_SECRET_BASE_WALL
19,MB_SECRET_BASE_WALL
20,MB_SECRET_BASE_SCENERY
21,MB_NORMAL
22,MB_NORMAL
23,MB_NORMAL
24,MB_NORMAL
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_NORMAL
30,MB_NORMAL
31,MB_NORMAL
32,MB_SECRET_BASE_PC
33,MB_SECRET_BASE_REGISTER_PC
34,MB_SECRET_BASE_HOLE
35,MB_SECRET_BASE_HOLE
36,MB_SECRET_BASE_PC
37,MB_HOLDS_SMALL_DECORATION
38,MB_HOLDS_SMALL_DECORATION
39,MB_HOLDS_SMALL_DECORATION
40,MB_SECRET_BASE_BALLOON
41,MB_SECRET_BASE_DECORATION
42,MB_SECRET_BASE_DECORATION
43,MB_SECRET_BASE_DECORATION
44,MB_SECRET_BASE_DECORATION_BASE
45,MB_SECRET_BASE_DECORATION_BASE
46,MB_SECRET_BASE_DECORATION_BASE
47,MB_SECRET_BASE_DECORATION_BASE
48,MB_SECRET_BASE_DECORATION
49,MB_SECRET_BASE_DECORATION
50,MB_SECRET_BASE_DECORATION
51,MB_SECRET_BASE_DECORATION_BASE
52,MB_SECRET_BASE_DECORATION
53,MB_IMPASSABLE_NORTHWEST
54,MB_IMPASSABLE_NORTHEAST
55,MB_SECRET_BASE_DECORATION
56,MB_SECRET_BASE_IMPASSABLE
57,MB_SECRET_BASE_DECORATION
58,MB_SECRET_BASE_IMPASSABLE
59,MB_SECRET_BASE_IMPASSABLE
60,MB_SECRET_BASE_DECORATION
61,MB_IMPASSABLE_WEST_AND_EAST
62,MB_SLIDE_SOUTH
63,MB_SECRET_BASE_BREAKABLE_DOOR
64,MB_SECRET_BASE_IMPASSABLE
65,MB_SECRET_BASE_DECORATION
66,MB_SECRET_BASE_DECORATION
67,MB_HOLDS_SMALL_DECORATION
68,MB_SECRET_BASE_DECORATION
69,MB_SECRET_BASE_DECORATION
70,MB_HOLDS_SMALL_DECORATION
71,MB_SECRET_BASE_DECORATION
72,MB_SECRET_BASE_DECORATION
73,MB_SECRET_BASE_DECORATION
74,MB_HOLDS_SMALL_DECORATION
75,MB_HOLDS_LARGE_DECORATION
76,MB_HOLDS_SMALL_DECORATION
77,MB_HOLDS_SMALL_DECORATION
78,MB_HOLDS_LARGE_DECORATION
79,MB_HOLDS_SMALL_DECORATION
80,MB_SECRET_BASE_IMPASSABLE
81,MB_SECRET_BASE_DECORATION
82,MB_SECRET_BASE_DECORATION
83,MB_HOLDS_SMALL_DECORATION
84,MB_SECRET_BASE_DECORATION
85,MB_SECRET_BASE_DECORATION
86,MB_HOLDS_SMALL_DECORATION
87,MB_SECRET_BASE_DECORATION
88,MB_SECRET_BASE_IMPASSABLE
89,MB_SECRET_BASE_DECORATION
90,MB_SECRET_BASE_DECORATION
91,MB_HOLDS_SMALL_DECORATION
92,MB_SECRET_BASE_DECORATION
93,MB_HOLDS_SMALL_DECORATION
94,MB_HOLDS_LARGE_DECORATION
95,MB_HOLDS_SMALL_DECORATION
96,MB_SECRET_BASE_GLITTER_MAT
97,MB_SECRET_BASE_JUMP_MAT
98,MB_SECRET_BASE_SPIN_MAT
99,MB_IMPASSABLE_WEST_AND_EAST
100,MB_SLIDE_SOUTH
101,MB_SECRET_BASE_DECORATION
102,MB_HOLDS_SMALL_DECORATION
103,MB_SECRET_BASE_DECORATION
104,MB_SECRET_BASE_DECORATION
105,MB_SECRET_BASE_IMPASSABLE
106,MB_IMPASSABLE_NORTHWEST
107,MB_IMPASSABLE_NORTH
108,MB_IMPASSABLE_NORTH
109,MB_IMPASSABLE_NORTHEAST
110,MB_SECRET_BASE_DECORATION
111,MB_SECRET_BASE_DECORATION
112,MB_SECRET_BASE_IMPASSABLE
113,MB_NORMAL
114,MB_IMPASSABLE_WEST
115,MB_SECRET_BASE_IMPASSABLE
116,MB_SECRET_BASE_IMPASSABLE
117,MB_IMPASSABLE_EAST
118,MB_IMPASSABLE_WEST_AND_EAST
119,MB_SECRET_BASE_DECORATION
120,MB_SECRET_BASE_SOUND_MAT
121,MB_SECRET_BASE_SOUND_MAT
122,MB_SECRET_BASE_SOUND_MAT
123,MB_SECRET_BASE_SOUND_MAT
124,MB_SECRET_BASE_SOUND_MAT
125,MB_SECRET_BASE_SOUND_MAT
126,MB_SECRET_BASE_SOUND_MAT
127,MB_NORMAL
128,MB_HOLDS_SMALL_DECORATION
129,MB_HOLDS_SMALL_DECORATION
130,MB_SECRET_BASE_DECORATION
131,MB_SECRET_BASE_DECORATION
132,MB_SECRET_BASE_SCENERY
133,MB_SECRET_BASE_DECORATION
134,MB_SECRET_BASE_DECORATION
135,MB_SECRET_BASE_DECORATION_BASE
136,MB_SECRET_BASE_DECORATION_BASE
137,MB_SECRET_BASE_DECORATION_BASE
138,MB_SECRET_BASE_DECORATION_BASE
139,MB_SECRET_BASE_DECORATION_BASE
140,MB_SECRET_BASE_IMPASSABLE
141,MB_SECRET_BASE_SAND_ORNAMENT
142,MB_SECRET_BASE_SAND_ORNAMENT
143,MB_SECRET_BASE_DECORATION_BASE
144,MB_HOLDS_SMALL_DECORATION
145,MB_HOLDS_LARGE_DECORATION
146,MB_HOLDS_SMALL_DECORATION
147,MB_HOLDS_SMALL_DECORATION
148,MB_HOLDS_LARGE_DECORATION
149,MB_HOLDS_SMALL_DECORATION
150,MB_HOLDS_SMALL_DECORATION
151,MB_HOLDS_LARGE_DECORATION
152,MB_SECRET_BASE_DECORATION_BASE
153,MB_SECRET_BASE_DECORATION_BASE
154,MB_SECRET_BASE_DECORATION_BASE
155,MB_SECRET_BASE_DECORATION_BASE
156,MB_SECRET_BASE_DECORATION_BASE
157,MB_SECRET_BASE_DECORATION_BASE
158,MB_SECRET_BASE_DECORATION_BASE
159,MB_SECRET_BASE_DECORATION_BASE
160,MB_HOLDS_SMALL_DECORATION
161,MB_HOLDS_LARGE_DECORATION
162,MB_HOLDS_SMALL_DECORATION
163,MB_HOLDS_SMALL_DECORATION
164,MB_HOLDS_SMALL_DECORATION
165,MB_HOLDS_LARGE_DECORATION
166,MB_HOLDS_SMALL_DECORATION
167,MB_HOLDS_SMALL_DECORATION
168,MB_HOLDS_SMALL_DECORATION
169,MB_HOLDS_LARGE_DECORATION
170,MB_HOLDS_SMALL_DECORATION
171,MB_SECRET_BASE_DECORATION_BASE
172,MB_HOLDS_SMALL_DECORATION
173,MB_HOLDS_LARGE_DECORATION
174,MB_HOLDS_SMALL_DECORATION
175,MB_HOLDS_SMALL_DECORATION
176,MB_SECRET_BASE_DECORATION_BASE
177,MB_SECRET_BASE_DECORATION_BASE
178,MB_SECRET_BASE_DECORATION_BASE
179,MB_SECRET_BASE_SOUND_MAT
180,MB_SECRET_BASE_DECORATION_BASE
181,MB_SECRET_BASE_DECORATION_BASE
182,MB_SECRET_BASE_DECORATION_BASE
183,MB_SECRET_BASE_DECORATION_BASE
184,MB_SECRET_BASE_DECORATION
185,MB_SECRET_BASE_DECORATION
186,MB_SECRET_BASE_DECORATION
187,MB_HOLDS_LARGE_DECORATION
188,MB_HOLDS_SMALL_DECORATION
189,MB_HOLDS_SMALL_DECORATION
190,MB_HOLDS_LARGE_DECORATION
191,MB_HOLDS_SMALL_DECORATION
192,MB_SECRET_BASE_DECORATION
193,MB_SECRET_BASE_DECORATION
194,MB_SECRET_BASE_DECORATION
195,MB_HOLDS_LARGE_DECORATION
196,MB_HOLDS_SMALL_DECORATION
197,MB_HOLDS_SMALL_DECORATION
198,MB_HOLDS_LARGE_DECORATION
199,MB_HOLDS_SMALL_DECORATION
