id,behavior
0,MB_NORMAL
1,MB_SLIDE_EAST
2,MB_SLIDE_SOUTH
3,MB_SLIDE_SOUTH
4,MB_WALK_EAST
5,MB_WALK_SOUTH
6,MB_NORMAL
7,MB_NORMAL
8,MB_NORMAL
9,MB_SLIDE_WEST
10,MB_SLIDE_NORTH
11,MB_SLIDE_NORTH
12,MB_WALK_WEST
13,MB_WALK_NORTH
14,MB_AQUA_HIDEOUT_WARP
15,MB_NORMAL
16,MB_NORMAL
17,MB_NORMAL
18,MB_NORMAL
19,MB_NORMAL
20,MB_NORMAL
21,MB_NORMAL
22,MB_NORMAL
23,MB_NORMAL
24,MB_NORMAL
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_NORMAL
30,MB_NORMAL
31,MB_NORMAL
32,MB_NORMAL
33,MB_NORMAL
34,MB_NORMAL
35,MB_SOUTH_ARROW_WARP
36,MB_SOUTH_ARROW_WARP
37,MB_NORMAL
38,MB_NORMAL
39,MB_NORMAL
40,MB_NORMAL
41,MB_TRICK_HOUSE_PUZZLE_8_FLOOR
42,MB_SLIDE_NORTH
43,MB_SLIDE_SOUTH
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_NORMAL
48,MB_NORMAL
49,MB_TRICK_HOUSE_PUZZLE_8_FLOOR
50,MB_SLIDE_NORTH
51,MB_SLIDE_SOUTH
52,MB_NORMAL
53,MB_NORMAL
54,MB_NORMAL
55,MB_NORMAL
56,MB_NORMAL
57,MB_NORMAL
